"JURISDICTION.NAME","COUNT.PARTICIPANTS","COUNT.FEMALE","COUNT.MALE","COUNT.GENDER.UNKNOWN","COUNT.GENDER.TOTAL","COUNT.PACIFIC.ISLANDER","COUNT.HISPANIC.LATINO","COUNT.AMERICAN.INDIAN","COUNT.ASIAN.NON.HISPANIC","COUNT.WHITE.NON.HISPANIC","COUNT.BLACK.NON.HISPANIC","COUNT.OTHER.ETHNICITY","COUNT.ETHNICITY.UNKNOWN","COUNT.ETHNICITY.TOTAL","COUNT.PERMANENT.RESIDENT.ALIEN","COUNT.US.CITIZEN","COUNT.OTHER.CITIZEN.STATUS","COUNT.CITIZEN.STATUS.UNKNOWN","COUNT.CITIZEN.STATUS.TOTAL","COUNT.RECEIVES.PUBLIC.ASSISTANCE","COUNT.NRECEIVES.PUBLIC.ASSISTANCE","COUNT.PUBLIC.ASSISTANCE.UNKNOWN","COUNT.PUBLIC.ASSISTANCE.TOTAL"
11234,59,29,30,0,59,0,8,0,0,37,10,4,0,59,1,58,0,0,59,2,57,0,59
11235,50,17,33,0,50,0,7,0,4,36,2,1,0,50,1,48,1,0,50,4,46,0,50
11236,7,3,4,0,7,0,0,0,0,1,5,0,1,7,2,5,0,0,7,0,7,0,7
11237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11354,2,1,1,0,2,0,1,0,0,0,0,1,0,2,2,0,0,0,2,0,2,0,2
11355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
